,narrative,Product
935131,"My ex-wife and I had a charged off account that didnt get taken care of in our divorce. I found on my credit report that I had a charge-off account with XXXX XXXX XXXX XXXX XXXX. The amount was around XXXX. I called XXXX to make payments and they referred me to their debt collector that was holding the Debt. SARMA Collections Inc. They advised me the total amount with fees to bring current would be XXXX. I made a payment XX/XX/XXXX for XXXX. I made another payment XX/XX/XXXX for XXXX and a final payment of XXXX on XX/XX/XXXX. I received in the mail a pay off letter from Sarma showing debt paid in full. My ex-wife was advised by XXXX that we still owed them, not Sarma an additional XXXX and they requested a payment be made to them on this same account, even though they no longer were holding the debt. XXXX is refusing to refund the amount of XXXX to us, as this would be an over payment, plus we already received a pay off letter from the debt collector. After reviewing Texas Law regarding Debt collection they appear to be in violation being of failing to give information on regards to actuall who holds the debt, over-charging, and presenting false information regarding balances as XXXX in the collections department will not tell me the total amount XXXX that was charged-off. I spoke with him twice today XX/XX/XXXX at XXXX and again at XXXX the same day. I asked him why they would accept a payment from us if they do n't hold the debt? He said he is allowed to take payments from the consumer even if the account was deferred to a debt collection agency. I said they are double charging us. He would not contact SARMA with me on the line to figure this out.",Debt collection
165359,"We fell behind on our payments due to a reduction in income and I contacted Wells Fargo for help. On XX/XX/XXXX I submitted a loan modification application for consideration. On XX/XX/XXXX we received notice ( Exhibit A ) that it had been approved under The FHA HAMP program. We made all 3 trial period payments ( Exhibit B ). XX/XX/XXXX I was asked to add XXXX name to the deed as only mine was on it. I hired an attorney and this was done and sent to Wells Fargo ( Exhibit C ). I was then asked to submit proof of residency for XXXX which was also sent to Wells ( Exhibit D ). After submitting everything that was asked for, we received a denial of the modification because they could not verify that XXXX resides in the property ( Exhibit E ). 
I maintain that we have met the burden of proof for residency requirements and made all 3 trial period payments under the FHA HAMP Guidelines.",Mortgage
343276,"Fifth third bank reported the wrong amount owed on my mortgage, of {$260000.00} approx. then a few months later the reported the correct amount of XXXX approx. which dropped my scores by XXXXpoints. They did a modification on my mortgage and I am only paying interest on XXXX.",Mortgage
827929,"My father purchased a car for me in XX/XX/XXXX. I did not cosign for the car. The car never once was reported on my credit report until XX/XX/XXXX when my parents filed for Bankruptcy. The car was repossessed and I am assuming that since my parents did not include the car in their BK filing, that XXXX XXXX had to hold someone liable for the car, which was me. Why did they take 10 years to report this car on my credit report AND they report it as a delinquent account. What happened to ALL of the on time payments made for years? Why was that ever reported on my credit report, since they deemed me liable? But NOW, I am liable, so they decide to place it on my report as a delinquent collection account. Not right. Not fair. I was JUST in the process of buying a home and then this account came up and put a long pause on me buying a home.","Credit reporting, credit repair services, or other personal consumer reports"
942916,"I had paid for the highest level product from Equifax for the protection of my identity and the most updates of my credit report. In the end I had paid hundreds and yet I have been informed I am compromised again. I find this very XXXX, I once dreamed of owning a home, now I will be lucky if a bank will issue me a credit card.","Credit reporting, credit repair services, or other personal consumer reports"
703256,"This is in rebuttal to original dispute XXXX. 
To clarify - XXXX does not have the account. The account is with The Bureaus collection agency. 
I have disputed the issue with the reporting company but have not received a final response other than what shows on my credit tracking apps. 
I could argue that several of the reasoning options listed above would suffice as a grounds for complaint, ie., did not get proper help over the phone, problem with statement of dispute, investigation took too long, etc. ... .and, I could probably add a few more not listed. I am frustrated! 
My complaint is against Equifax for not addressing my dispute with original creditor ( collection agency ) with proper ethics and advocacy on my part. I have disputed this balance several times now with Equifax because the original creditor will not comply with requests for itemized and detailed invoices and line item charges which I have requested multiple times from collection agency who now has this account. My purpose in requesting these was to instigate an affidavit of unauthorized charges on this original account. I get nowhere with collection agency and in fact am told that they are only required to provide basic and satisfying information to validate the debt to the reporting credit bureau. I know it is my account, however, the question is accuracy of amount due because of these unauthorized charges. My complaint with original creditor is that these unauthorized charges are the result of retailer ( in this case XXXX ) not verifying my identity with proper ID at time of purchase therefore allowing unauthorized person ( XXXX ) to charge to my account. Twice, attempts were made with representative XXXX at collection agency ( The Bureaus ) but told each time that his agency does not get those documents from the original creditor and therefore can not and is not required to supply them to me or to the reporting credit bureaus. I had even sent, via mail, a request for documents and NOT EVEN a response back. 
At this time, this is neither here nor there now as I have moved past trying to get the collection agency to provide my requests and now see that my time is wasted dealing with the collection agency as I was getting nowhere. Therefore, I directed my complaint to Equifax in the hope that their investigation would prompt collection agency to provide accurate account information. 
Equifax has a responsibility in proper investigating and in reporting to me the timely status of the investigation instead of the dry and customary "" meets FCRA requirements ''. I have disputed this twice now ( three if you count the initial phone call dispute ) with Equifax and do n't even get the courtesy of a letter or email to notify me of status or findings. I am very frustrated and feel as though I have no rights in this matter and have gotten nowhere in following recommended protocol and steps for resolution. This has been an education for me and I have learned that the reporting bureaus do n't have to substantiate anything except known public record type of information to satisfy the proof of debt. The credit process has been made to be a black or white issue with reporting and follows a general set of guidelines and protocol therefore making it a laborious process to communicate situations and disputes that are not always black or white and do require more ethical investigation than just the standardized proof of debt validation. On top of this, it has easy to see the close relationship that the bureaus keep with the lenders and creditors that works against the borrower in many cases when a person such as myself has to fight for my right to obtain information and request dispute resolutions. 
For final disposition on this matter, I request that this be removed from my report with Equifax as I see no other viable or satisfying solution and have exhausted all resources.",Credit reporting
536503,"I was provided PMI cancellation documentation with my mortgage and on monthly statements, which Wells Fargo did not want to honor. Wells Fargo then stated via a letter and multiple levels of customer service that they would require a 70 % loan to value which could only be established via appraisal. Wells sent a form to determine the appraised value, which had an inflated appraisal cost of {$850.00} versus home purchase appraisal cost of {$660.00}, which suggests that Wells is receiving some sort of alternate consideration from the appraisal company - XXXX or they are intentionally misleading their clients during the closing process. Wells 's most senior customer service, refused to match the pricing of a qualified appraiser or charge the same appraisal cost as was initially charged for the purchase of the home. 

Wells has now agreed to honor the disclosure on my monthly statement and at closing, only after referral to the presidents office and my provision of the statement from closing. However, Wells is still requiring an appraisal for a home purchased 18 months ago when the documentation provided at closing suggests that an appraisal is required only sometimes, the implication of the disclosure is to protect Wells Fargo during a falling real estate market and not just to improve Wells Fargo 's profits. The cost of the appraisal equals about XXXX years of PMI. 

This process has taken months to resolve and suggests that all Multi-Family homes ( XXXX unit dwellings ) are being incorrectly processed in Wells Fargo 's systems in regards to PMI and that Wells has a systematic program to intentionally over charge customers requesting relief from PMI to inflate profits through additional PMI or consideration from XXXX",Mortgage
763487,"I applied for a federal consolidation loan on XXXX/XXXX/XXXX, included in this application was an application for income based repayment under the REPAYE program. 
On XXXX/XXXX/XXXX my federal consolidation was finalized. 
On XXXX/XXXX/XXXX my RePaye application was rejected citing to insufficient paperwork to establish income. 
On XXXX/XXXX/XXXX, I called the servicer re : the rejection ; the servicer indicated that after re-review of the documents, the rejection was in error, and that my Re-Paye repayment plan application was correct and would be acted on soon. 
XXXX/XXXX/XXXX, having heard nothing from the servicer, I again inquired about the status of my Re-Paye plan application,. I was told my application was missing paperwork and needed to by updated, the income information had become stale given the time that had now past because of the servicer delays. On XXXX/XXXX/XXXX, I uploaded a copy of my two most recent pay stubs to the servicer 's website. I asked for expedited review. I called twice in the following week, explaining all delays and requesting expedited review of my re-paye application. I was told the repaye application would be expedited and completed the next day. On the next day I called to confirm conpletion and was told it would instead be 1-2 more months for the Re-Paye application to be processed. During this time interest on the unpaid loans has been accruing. Also, my full standard payment is now due XXXX XXXX, XXXX. I have been told that they can not change the due date and they can not add forbearance, because it will cause my re-paye application to be rejected. I ASK THAT MY RE-PAYE APPLICATION BE REVIEWED ASAP, AS IT HAS BEEN WITH THE SERVICER FOR OVER FOUR MONTHS. I ASK THAT IF THEY CAN NOT CALCULATE PAYMENT BEFORE MY LOAN DUE DATE ON XXXX/XXXX/XXXX, THEY CHANGE MY DUE DATE UNTIL LATER IN THE MONTH. There is a huge backlog with the servicer, and many many kinks to be worked out in their system for approving re-paye applications. These administrative failures on the part of my servicer is likely going to cause my loan to default. I can not afford the standard full payment. Please help expedite the Re-Paye approval process.",Student loan
945420,"I secured a loan with Santander in XXXX for {$22000.00} and have been paying {$550.00} which, total payments over {$28000.00} and was advised by the XXXX that I still owe over {$18000.00}. This company has been applying my payments toward interest stating it depends on what day the payment is posted that determine what will be applied to principle. I 've requested all payments and signed application and as of today, still have not received any correspondences from the lender. This is a very negative impact on my credit report and I 'm paying {$14000.00} more for a vehicle that is only appraising at {$6500.00}. I stuck paying back loan for additional year because of the hidden fees and misapplied payments. Unable to trade in vehicle because of the negative balance of {$14000.00}.",Vehicle loan or lease
147972,"I used a couple of times the world wallet services from Citibank but the last two times it has not being timely. Citibank claims that if you place the order before XXXX XXXX you get the foreign currency deliver the next day. Well, that is not true! I ordered some XXXX XXXX on Thursday XX/XX/XXXX and as of Monday XX/XX/XXXX at XXXX XXXX I have been able to obtain them. I went to the receiving branch in XXXX, XXXX on Friday XX/XX/XXXX around XXXX XXXX EST and the teller helping me, XXXX XXXX, mentioned that Corporate services told her that my name was too common and they had to do additional checks ( which I do not understand as I am a customer and they confirmed my identity through some questions ). She suggested to cancel the order and re-order so that I can changed the receiving branch as I was not going to be able to visit the XXXX branch the following week. So I did. She mentioned that even though the order was being placed after XXXX XX/XX/XXXX I was going to be able to receive my order on Monday XX/XX/XXXX after XXXX PM. Today I went to the new receiving branch at XXXX XXXX and they said that they had not received anything and that they will most probably receive it tomorrow as the order was placed on Friday after XXXX PM. At this point I am not quite sure if I will get the XXXX XXXX tomorrow and I will be traveling for business purposes on Wednesday. Last time I ordered I took Citibank two days to provide the currency. Their marketing does not seems to be real. I am very frustrated as I have been wasting time going to the branches and going through solutions that do not seem to work yet. They mentioned to call before going to the branch but in the XXXX branches I had to visit I called but they never answered. Citibank does not seem to care about customer service at least based on my experiences with this bank.",Other financial service
831666,"On XXXX XXXX, XXXX, I filed a loan modification with my primary home mortgage lender, Aurora Loan Services LLC. They have since changed their name to Nationstar Mortgage. ( I have XXXX loan with Nationstar and smaller mortgage loan with XXXX Lender for the same house ) I was XXXX of those homeowners that signed a balloon home loan agreement back in XXXX. I did n't realize before I signed the loan modification documents, but on the schedule of payments table it shows that in the year XXXX I have to pay a one-time payment of {$180000.00} in interest. I believe this is absolutely absurd, because if I had the money to pay the mortgage payment, I would 've never asked for a loan modification. Instead they lumped up the mortgage payment at the end of my loan agreement and in XXXX I will still not have the {$180000.00} lump sum they are going to come after. ( Please see page XXXX of the Aurora loan modification documents I have scanned and attached for that table ). Keep in mind that there are XXXX difference loan numbers. The loan number I had with Aurora Loans used to be # XXXX. When the loan was transferred to Nationstar, my loan number changed to : # XXXX. I read in the XXXX magazine this year that consumerfinance.gov put penalties on Aurora for doing bad business with other homeowners and I 'm wondering if I qualify as XXXX of those homeowners, but they slipped through the cracks with my loan because Aurora was able to transfer my loan over to another name ( Nationstar ). Please help me look into this, because I think it is wrong on so many levels. Please assist me with getting Nationstar to rectify my loan modification agreement and take out that last payment of {$180000.00}. I 'm XXXX with XXXX income. Please, I do n't know what else to do, and I 'm desperate for any assistance or advice I can get. I appreciate your help. 
Homeowner, XXXX XXXX, ( XXXX ) XXXXcellAttachments : Loan Modification with Aurora - XXXX XXXX, XX/XX/XXXXNationstar Statement - XXXX XXXX, XXXX",Mortgage
397808,"Tuesday at approximately XXXX I received a call from XXXX. I was waiting on an important call and thought I would answer, although I do not usually answer unknown numbers. I answered and the person just said XXXX XXXX? I said who is this and they immediately said the were calling about a bill I owe point medical, I said who is this and the man said that I owe a bill and if I do n't pay it will is going on my credit report. I said I do n't owe anything what are you talking about? He then said something and I could hear some one whispering in the background to him and he said I owe XXXX money. I said no I do n't, and you never confirmed you were taking to the correct party not tell me this call is being recorded. He said something I did t understand and kept saying that I do owe and if I do n't pay it is going on my credit report. I told him that that are n't supposed to call me. I have had issues in the past with this company calling and harassing me. They are rude and I previously told them to NEVER call my number again. I will pursue the advise of my attorney because this is causing me undue stress and I have XXXX.",Debt collection
46904,"I have a safety deposit box at US Bank. They take the yearly fee from my checking account ... .which I agreed to have them do. They send no reminder by email or regular mail so that if I forget I will be charged a daily overdraft charge until I receive a notice from them and can put money in the account. If they can generate a notice of an overdraft they must be able to generate a notice that a fee is coming up on X-day. 
I see this as only slightly more honest a way of doing business than opening accounts in customers ' names without their knowledge.as XXXX XXXX did. I have a busy life and do n't necessarily have a big note on my calendar ... or have an extra {$99.00} in my account",Bank account or service
925285,"Equifax mishandled my information which has led to a breach that puts myself and millions of others at potential risk. I am extremely disappointed with how equifax has handled reporting this breach. Very little was done to notify the public for nearly a month after the breach was detected. I received no email, letter, or phone call and instead had to discover it via social media. 
Going forward equifax should be required to monitor every account and notify victims if any fraud occurs. Credit fraud protection should be mandatory for every account, not an option for us to have deal with. 
This should be rectified firstly by making credit freezing free and refunding everyone who paid for it following this data breach. 
Equifax is currently offering a limited credit monitoring service, which does n't even activate immediately. Even this had to be sought out by those who see the news reports, follow the news links to the Equifax page, which in turn link to a shady third-party website asking for 2/3 of one 's social security number plus last name and a waiver of all class action recourse in order to discover if one is among the breached accounts, only changed to waive class action recourse from the third party site if it too is breached with the sensitive data it is querying once the news of this spread. This is insufficient to the need created by their negligent protection of my information, which I did not give them myself, but which they curated as their business from other businesses.","Credit reporting, credit repair services, or other personal consumer reports"
506083,"MY MORTGAGE WAS JUST SOLD/TAKEN OVER BY PENNYMAC LOANS XX/XX/XXXX. I HAVE HAD NOTHING BUT ISSUES WITH THEM SINCE THEN. NOT ONLY HAVE THEY DECIDED THAT MY ESCROW ACCOUNT NEEDS MORE MONEY AND RAISED MY PAYMENT, BUT NOW THEY HAVE NOT PAID MY HOMEOWNERS INSURANCE PREMIUM. SUPPOSEDLY THE CHECK "" GOT LOST IN THE MAIL ''. MY INSURANCE COMPANY HAS CONTACTED THEM ATLEAST TWICE A WEEK FOR 3 WEEKS, WITHOUT SUCCESS. NOW POLICY IS SET TO CANCEL IF THE PAYMENT IS NOT RECEIVED BY TOMORROW. MY INSURANCE COMPANY REP GOT ME INVOLVED TODAY, AND AFTER MULTIPLE CALLS, PENNYMAC THINKS THAT THEY CAN SUPPOSEDLY GET ANOTHER CHECK OUT BY MON OR TUES .... SEVERAL DAYS AFTER MY INSURANCE POLICY CANCELS. THEY EVEN SUGGESTED THAT I JUST PAY MY PREMIUM, THEN I CAN GET A REFUND FROM MY INSURANCE AFTER THEY FINALLY PAY.",Mortgage
391618,"There are XXXX liens showing up with XXXX which only list XXXX Release of tax lien XXXX {$23000.00} and TransUnion XXXX same {$23000.00} different doc numbers and TransUnion also list XXXX $ XXXXThese were a mistake that have been resolved, I even went to the court house. I explained that numerous times, XXXX removed all. What do I need to do so these XXXX agencies comply with the law. These were filed in error no tax liens existed on my business.",Credit reporting
805104,On XX/XX/2018 I tried to register my citi credit card online. I lost the old card so they put my online account access on hold. After talking to different customer service provider who transferred me to technical support. First time I waited 30 mins and the second time I waited 1 hr and 12 mins to get some one to help me. After filling the complaint about wait time and issue not being resolved the second rep assured me that its fixed. After getting of from the phone call I tried to register the new card and get my online access which didnt work and issue is still pending. I cant access my online account and cant make payments. The citi bank is charging me extra to make the payment over the phone. Its not fair for them to not fix my issue and use an excuse to make extra money by forcing me to make a payment over the phone.,Credit card or prepaid card
480466,"I went to a Bank of America ATM to withdraw money for my daughter 's back-to-school shopping. The ATM took my debit card and did not return it or display a message. I 1. called the number on the ATM machine to report a problem. Could not do so because I did not know the number on my ATM card since it was in the machine. 
2. I called the phone number on the back of my credit card, got a human being who transferred me to an automated system where I could n't get help because I did n't know my ATMS card number. 
3. Used my mobile application to get connected to a person who also transferred my into an automated system where I could n't get help because I did n't now my ATM card number. 
4. Drove home and logged into my online account. Called the number and after several minutes was still getting offers for XXXX and some cruise line with no apparent way to get to a person. Hung up. 
5. Tried my mobile app again. Got a person who did order me a new debit card. Would not waive the expedited charge. Told him I needed to get cash today. He said he would transfer me to an emergency cash phone number ( promised a person ). Was transferred to another automated system that hung up on me when I pushed 1 for debit card questions ( the only other option was credit card questions ). 
6. I had to borrow money from a 16 year-old!",Bank account or service
811817,"I have disputed an ac count, held by the U.S. Department of Education, being rep orted on my  XXXX  and Experian credit reports multiple times ( mostly recently on   XX/XX/XXXX  )   without result or proper explanation as to how and why the account continues to be reported. I also disputed the information directly with the  U.S. Department of Education  on    XX/XX/XXXX      and as of this writing,   XX/XX/XXXX   ( more than 30 days later ), I have received no response.     The reports do NOT state the 'Date of First Delinquency ' or 'Date of Default ' on this account, which is required if it is to be listed at all on my credit report. In fact, the 'Date Opened ' is listed a s  XX/XX/XXXX , but  the  'Date First Reported '  is listed as   XX/XX/XXXX , a nd at that time they claim the account was already in collection status. Neither the   U.S. Department of Education   nor  XXXX  or Experian have provided me with the 'Date of Default ; ' therefore, this account has not been proven to be mine, nor should it be listed on my credit reports.","Credit reporting, credit repair services, or other personal consumer reports"
811847,"On XX/XX/XXXX, XXXX XXXX XXXX responded to my complaint XXXX saying they would send a new gift card and also credit {$25.00} to 'your card '. I have not seen a replacement card or a credit to any of my cards.",Credit card or prepaid card
959236,I paid the debt in full XX/XX/2017 ( have cancelled checks to verify ) and the debt collector still continues to contact me to pay the debt even though I have told them it is paid in full.,Debt collection
859143,"FedLoan Servicing has been providing me with regular monthly statements of {$190.00} for the past 5 months. Before that the amounts fluctuated and FedLoan could not or would not coherently describe why. I have paid $ XXXX/month to pay down the loans and have received subsequent bills stating "" You have previously made payments in excess of the amount that was due. Therefore, you currently do not have a payment due this month. Your next payment is due on XX/XX/XXXXfor {$190.00}. '' This month I received a statement this this exact wording dated XX/XX/XXXX. On the same day I received a delinquency notice dated XX/XX/XXXX. I called FedLoan Servicing for an explanation as to the obvious discrepancy in the two letters dated a single day apart and was told my actual amount due each month was {$1400.00}. This does not appear on any statement and has not been made known to me. The service person claims that emails had been sent, however they confirmed I am set up for paper billing and I have not seen these supposed emails. The service person did not have an explanation for the lack of paper correspondence related to the $ XXXX/month amount due. Please help me to get this matter resolved so I do not default on a loan I have, by all correspondence that has been provided in my confirmed method, been paying beyond the due amount. Furthermore, of the loans listed on the delinquency notice 5 were  supposedly dispersed during my time as an XXXX and during that time I had taken out loans from XXXX XXXX XXXX not FedLoan Servicing.",Student loan
798168,"XXXX   XXXX ,    2017 I received an alert this morning from  XXXX  and  XXXX  that my complaints against Flagship Credit had  been resolved yet it has not.      Flagship Credit is reporting a higher Balance than I owe and updated the credit unions with the false information thus impacting my credit score a  violations of the FCRA.      Flagship Acceptance Credit reported that I have balance of {$19000.00} when I called and have attached a copy of my statement that shows a balance of {$18000.00} the pay off would be only around {$18000.00}. This false information caused by balance to increase on my credit score was imp acted.","Credit reporting, credit repair services, or other personal consumer reports"
33363,I purchase a car from Clay Cooley on XXXX/XXXX/XXXX. On XXXX/XXXX/XXXX my car broke down. The company made me pay XXXX dollar for a loaner car in addition to my car note. They kept my car until for over a month without fixing it. Once it was finally fixed I ended up taking the car back 2 additional times for the same problem. On XXXX XXXX they traded me to another car. After having the new car only 3 weeks I had problems with it. I took it in they supposed to have fixed it and a week later it is now back in the shop. I have made all my payments on time and have continued to receive bad service. I still am not driving my car and I have requested upper management to get involved and arbitration but no one will help. The company will not remove the other car loan from my credit and I was told that I would get the new car for the same price as the old but they increased the price and made me pay for another warranty.,Consumer Loan
454280,"I keep getting calls from XXXX XXXX regarding asset location. They asked to confirm the last XXXX of my social security and DOB. I told them that info did not match me ( it does not ). They became abusive and accused me of lying. They then call my place of business and talked to my supervisor, telling her I was a liar. I am not. They have called me at home, on my cell and at work numerous times and just wish them to stop. I have told them repeatedly that they have the wrong guy but they always become abusive and I just hang up. This should not interfere with my work, let alone my private life. The person they are looking for, if the ss # and dob they have is correct, is not me.",Debt collection
205175,"I tried, as directed on the FTC site, to send them a letter asking them to stop contacting me ... Sent it by certified mail as directed ... but they refused delivery..last person I contacted on the phone about this "" debt '' told me they had no record of it ....",Debt collection
675643,"Unable to get an explanation out of Equifax Information Service. They say I put a freeze on my credit report which I did n't do? They wo n't say when or how I place it, but to remove to forward updated information that I did.",Credit reporting
1261,currently reporting XXXX invalid debts based on false claims and / or false representations.,Debt collection
16699,"I recently received a year end statement from Nationstar Mortgage. Since the company will not answer any question and outside of this year end statement, no information was given too me when requested, I am requesting to know when Nationstar acquire my servicing agreement. I am requesting to know is the legal owner of my mortgage. XXXX loan servicing could not prove not only who is the legal owner, but also provide proof of transfer of ownership and the secruritization trust to the purchase of my property. Thank you",Mortgage
650166,"I am a XXXX XXXX XXXX woman suffering from XXXX XXXX MCM called me to collect a {$150.00} debt owed by my daughter-in-law. I immediately told MCM that she has never lived with me. However, that did not stop the vicious calls. I became terrorized and so intensely upset that I suffered a XXXX XXXX.",Debt collection
919852,"Attempted to request Security Freeze on XXXX web site. When directed to apply on line, simply see "" loading ''. Inexcusable. When I call, receive recording indicating where to mail a request! I am sure banks do not have to do any credit requests by mail!!! 

Interaction with Transunion was immediate on the Web. 

Where is the CFPB. You are the CONSUMER protection bureau, not the credit rating agency protection bureau. Your inaction is inexcusable","Credit reporting, credit repair services, or other personal consumer reports"
12889,"Pulled credit report without permission,",Credit card
399413,"I submitted a complaint to this agency thinking that my problem would eventually be resolved, on XXXX. The case number is XXXX. The results are pathetic. The defendant is emboldened, still has NEVER responded to my original certified letter, when the interest charges were {$18.00} approx ... Now they are adding approx {$43.00} a month to this 0 % paid in full account, to a grand total of {$510.00}!!!! How is this criminal behaviour allowed to go on? You are supposed to be "" protecting "" the consumer from these criminal banking thieves, aka, CHASE .... Please do your job and rectify this travesty of justice ... .. they keep on laughing and laughing while the govt pretends to be helpful! I would be shocked if someone actually called me and told me that Chase has been found GUILTY of misleading, bait and switch, deception, and down right lies, and last but not least CLEAR VIOLATION OF TRUTH AND LENDING LAWS!",Credit card
1005887,"We've had this credit card since XX/XX/XXXX. We got the card as newlyweds to start building credit to buy a home. We always paid our bills and had nearly perfect credit. In XX/XX/XXXX we used the card to help our son open a XXXX. Six months later, he unexpectedly passed away in a XXXX XXXX. We lived 5 hours away from the XXXX, and hired a new manager who ran the business into the ground. We kept it going until XX/XX/XXXX, but finally had to close. Our income was low, and we just couldn't continue paying the credit card payments. We called XXXX and tried to see if we could work something out to settle our balance. They had already closed the account. However, it continued to show up on our credit report and dinging our account in the years since.","Credit reporting, credit repair services, or other personal consumer reports"
989680,"My complaint is regarding a dispute pertaining to a erroneous, inaccurate alledged bankruptcy on my Trans Union Credit Report. Trans Union report # XXXX dated XX/XX/2016. After receiving notice that the alledged bankruptcy dispute was verified, I requested the Method of Verification. The Fair Credit Reporting Act 611 ( A ) ( 6 ) ( iii ) states that upon request you must provide me with a description of the procedure used to determine the accuracy and completeness of the information. This includes but is not limited to the business name and address of the furnisher of the information and telephone number of such furnisher. I submitted via certified mail article # XXXX XXXX XXXX. XXXX XXXX and it was received by Trans Union on XXXX XXXX 2016. This can be XXXXXXXXXXXX 24 Hours. Additionally, Trans Union continues to blatantly disregard my request for the Method of Verification. Let me forewarn CFPB Trans Union will fail to mention in their reply the person who they spoke with, telephone number or give any description of the procedure used to verify this bankruptcy. I spoke with the court who states they were never contacted regarding this matter so why would T
rans Union state such? Trans Union will fail to mention that they have failed to comply with providing the Method of Verification within 15 days as required under the Fair Credit Reporting Act. I want the MOV or this inaccurate, injurious,  erroneous bankruptcy removed immediately from my Trans Union credit report. I would like to Thank the CFPB sincerely in advance for its time and effort in this matter.","Credit reporting, credit repair services, or other personal consumer reports"
502372,"I am a rushcard customer, have not been able to have any access to my money in 16 days. When calling somtimes i get hung up on. other times the represenitives have the same excuses. Cant tell me whats going on or what the problem is or when it will be settled.The company wont even give any other opitions to recieve the funds.",Prepaid card
933902,"I discovered a debt listed on my credit report. I sent a simple debt validation letter that was received by United Revenue Corp on XXXX. On XXXX, I received a response stating who the debt was allegedly from. In response to the letter, I replied with the this letter ( attached- URC1.pdf ) sent to United Revenue Corp XXXX XXXX XXXX received XXXX. They have not responded. I have never seen this Physician, been to this alleged medical facility, etc, Please delete this false information from my credit report.",Debt collection
485564,"I set up my on-line account with my Bank of America [ XXXX XXXX XXXX ] account to withdraw "" the amount due '' from my account each month, meaning ( I thought ) the statement balance. For three months in a row Bank of America only withdrew the minimum payment of {$25.00}, and charged me interest on the unpaid balance. 
Each month I called and asked them to correct it, and they reversed the fees. This month I called to complain and a courteous employee explained that "" amount due '' on their website options meant "" minimum payment plus fees and interest. '' That is not the ordinary meaning of "" amount due '' and no previous employee had bothered to mention that to me. I believe this is a strategy to prevent people from paying off their balances when due and incurring expenses interest charges.",Credit card
989987,"CALLED TRASFERED OUTSIDE THE US, WHERE I WAS TRANSFERED DEPARTMENT TO DEPARTMENT WITH SO SOLUTION TO MY PROBLEM ..VERY LITTLE HELP",Credit card or prepaid card
211198,"I have 6 student loans with Navient, 3 stafford subsidized and 3 unsubsidized, through several years of unemployment and generally not making enough money to pay it back I kept being pushed into doing forbearances of my loans. I 'm learning now that I could have had repayment plans that were based on my lack of income to make the repayment. I 've tried talking to them to gain insight into options, but was always made to believe that the best option was forbearance and others were not. I was also led in a confusing way about the other options available to me. Now years later my balance is much higher than it was initially and I 've made little or no steps towards repaying my loans. I believe they 've acted in their best interest to get the most amount of money out of me possible, rather than collecting principal plus reasonable interest. 
There were times that the amount they said I had to pay was much higher than I could afford. I tried saying that I could pay a lower amount and they said no. That the only way to get back on good terms, and the best option, was to just place my account on forbearance. I could have been paying $ XXXX a month during large swaths of times, but they either would n't accept that as the repayment amount, or just said it was not needed.",Student loan
903552,There is two account on my XXXX and XXXX credit reports that should not be in collections. I have called the collection agency and they said they have been closed. XXXX XXXX XXXX XXXX both amounts are for {$150.00} dates they were placed is XX/XX/2015 and XX/XX/2015.,"Credit reporting, credit repair services, or other personal consumer reports"
749762,"US BANK XXXX XXXX XXXXI am making a complaint in regards to my card Central Bill Account - XXXXBusiness Credit Card - XXXX. 

I paid {$60.00} for annual fee on XXXX/XXXX/2015. Per card member agreement, I have not received my anniversary XXXX points to my GOLD account : XXXX am pretty upset about the elimination of benefits and the poor marketing US Bank has done in regards to this card. In addition I do not get my annual bonus points. 

Please update my account and deposit the XXXX. 

Thanks. 

XXXX XXXX",Credit card
38935,"I received a phone call this morning from a "" XXXX XXXX '' with XXXX about a debt I supposedly have with EZ Money. When he called and tried to verify who I was, they had the wrong SSN, employment information, and flat out refused to verify the validity of the debt stating that it was not his concern or responsibility. He also refused to give me any contact information other than his name and company he was with. The only information he provided was an estimated date of when the loan was taken out and who it was with. When speaking to him, he threatened criminal charges and possibly jail.When trying to verify the debt, he became very agitated and loud- he began yelling at me. I advised him to serve me and cease all phone communication with me or any of my references they XXXX have contact information for. Shortly after, he called my mom and would only provide a phone number.",Debt collection
944634,"I am a single mother raising XXXX XXXX. I have been targeted by lender and I feel this is based on my culture. I know that my counterparts many paid for school out of pocket. As a minority we are are the last hired at the lowest pay scales. I can accept that there is not much I can do about this type of discrimination. Now lender discrimination is a legal matter that should be addressed. I have on credit report 41 different accounts reporting of student loans. Each of these account have changed hands several time without any notice to me as the consumer. All accounts are showing negative payment history. Each lender has baited and switched these accounts for leveraging against me as single parent. I have received correspondence from the bureaus stating that they have removed an account or updated an account. When I look closer I see that they are still circumventing the rules. They are actually responding without even looking at the actual dispute because if I address 41 negative student loans account and the bureaus address one out of 41, they are still omitting the fact. As long as lenders are doing this XXXX XXXX and I have no future because we  can not pay in full student loan debt. I am trying to get better rate but these lenders have my family captured by using this process.","Credit reporting, credit repair services, or other personal consumer reports"
